index,index_x,index_y,pos_x,pos_y,disp_x,disp_y,strain_xx,strain_yy,strain_xy
59,1,11,375.0,665.0,0.20159912109375,-9.6683349609375,-0.002726528424510412,0.017953315481092923,nan
60,1,12,375.0,685.0,0.138397216796875,-9.27508544921875,-0.0028857788923656513,0.01839138491438688,nan
61,1,13,375.0,705.0,0.05206298828125,-8.9261474609375,-0.0035945566701673496,0.016721467605076843,nan
62,1,14,375.0,725.0,-0.014617919921875,-8.60089111328125,-0.0036835567794282756,0.019664748840567847,nan
63,1,15,375.0,745.0,-0.0487060546875,-8.13189697265625,-0.003919331132249748,0.02081511846732025,nan
64,1,16,375.0,765.0,-0.056976318359375,-7.75958251953125,-0.0040445688492005165,0.02445308922079115,-3.9575941217790658
65,1,17,375.0,785.0,0.02618408203125,-7.14178466796875,-0.005510239244219129,0.030340113176770947,nan
66,1,18,375.0,805.0,0.22149658203125,-6.5283203125,-0.00987409151233845,0.03451111192260646,-4.028036885691298
67,1,19,375.0,825.0,0.576873779296875,-5.74090576171875,-0.014632531934698835,0.04078033679171376,-2.785934305187051
68,1,20,375.0,845.0,1.05078125,-4.87164306640625,-0.014695635613392597,0.05699359665166721,-2.3477283454613076
69,1,21,375.0,865.0,1.893096923828125,-3.4154052734375,-0.030222379279836974,0.09919347375467708,nan
70,1,22,375.0,885.0,2.820220947265625,-0.73590087890625,-0.015721560190007068,0.0983279626663304,nan
71,1,23,375.0,905.0,2.644439697265625,0.711181640625,-0.0129044892790698,0.08195983781191085,nan
72,1,24,375.0,925.0,1.868988037109375,2.670166015625,-0.01788618783927927,0.07530863978134417,nan
73,1,25,375.0,945.0,1.271331787109375,3.8179931640625,-0.01558091929059249,0.049231137576446836,nan
74,1,26,375.0,965.0,0.684661865234375,4.6719970703125,-0.011659155856057741,0.038811203367996414,nan
75,1,27,375.0,985.0,0.360809326171875,5.3909912109375,-0.006104964976861204,0.034916392423071735,nan
76,1,28,375.0,1005.0,0.176910400390625,6.0902099609375,-0.0053562876252022515,0.02898990067872175,-3.756707949650655
77,1,29,375.0,1025.0,0.126861572265625,6.56689453125,-0.004870179473417254,0.024146777955485952,-2.97119287734439
78,1,30,375.0,1045.0,0.092071533203125,7.0677490234375,-0.0033151746162345262,0.022591494147980687,-3.0971524701023374
79,1,31,375.0,1065.0,0.108428955078125,7.4808349609375,-0.002765403151709319,0.021105320615338416,-3.0906543599166905
80,1,32,375.0,1085.0,0.1456298828125,7.9208984375,-0.00287050639495268,0.019182357297276208,-2.956366588735902
81,1,33,375.0,1105.0,0.167388916015625,8.2554931640625,-0.0028328266020786245,0.015780365267110116,-2.910482013163615
82,1,34,375.0,1125.0,0.241424560546875,8.5570068359375,-0.0031329016874931835,0.01674178834868263,-2.677772184420335
83,1,35,375.0,1145.0,0.343658447265625,8.930419921875,-0.004266285884983563,0.016273146498257153,-2.6617774294852743
84,1,36,375.0,1165.0,0.440887451171875,9.2127685546875,-0.004801184533460093,0.013818250048527918,-2.8290023317389554
85,1,37,375.0,1185.0,0.497589111328125,9.4866943359375,-0.00283757318233049,0.0153633770784029,-2.9454666712490907
86,1,38,375.0,1205.0,0.54730224609375,9.8319091796875,-0.0018763001927994932,0.016714407330929767,-2.8174730386153417
87,1,39,375.0,1225.0,0.638702392578125,10.16064453125,-0.0018248777181339862,0.01458929402324959,-2.9605499646883304
88,1,40,375.0,1245.0,0.62835693359375,10.419677734375,-0.003350306993415362,0.01447324897560751,-3.825301619186924
89,1,41,375.0,1265.0,0.6669921875,10.7437744140625,-0.0030862464676614486,0.015546635213384764,-3.40377647145039
90,1,42,375.0,1285.0,0.66387939453125,11.04638671875,-0.0028939595824171746,0.014996402237297087,-3.335304690618842
91,1,43,375.0,1305.0,0.68975830078125,11.34814453125,-0.0028391658045542594,0.014993420836899876,-3.0269251352406368
92,1,44,375.0,1325.0,0.688385009765625,11.650634765625,-0.003593131688072693,0.01624622484407323,-3.196948518379244
93,1,45,375.0,1345.0,0.710174560546875,12.0032958984375,-0.0035244928905318043,0.015477625650916491,-3.1363759678951464
94,1,46,375.0,1365.0,0.728302001953125,12.2745361328125,-0.003835434828137155,0.014121264624984304,-2.9638739790228787
95,1,47,375.0,1385.0,0.738616943359375,12.5721435546875,-0.0036964903871223834,0.0,-3.3811282981553994
96,2,0,395.0,445.0,1.001922607421875,-13.54119873046875,-0.0036918104037901123,0.0,-2.8000891305683226
97,2,1,395.0,465.0,0.9376220703125,-13.125823974609375,-0.0036830593705461235,0.018858060018912663,-3.7721543221659526
